RegionID,SizeRank,RegionName,RegionType,StateName,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31
102001,0,United States,country,,1379.3593504761413,1391.0738726092902,1401.5304219001018,1412.3965067818806,1418.1368279623478,1423.532050676412,1424.4236023728856,1425.520691466199,1425.1008722151591,1425.5004466592422,1429.0172123207853,1435.5443923902044,1445.594939414264,1453.796562724695,1461.8280194897095,1468.2915674112305,1472.1916787766252,1474.2417266397479,1473.431930295557,1472.823014832465,1470.7642421762152,1469.9331637966984,1473.436358509918,1481.4717300031211,1492.6641743175378,1503.9856277011434,1514.4287636597078,1523.0046952824216,1529.4409655023926,1532.2423286737203,1532.6961344478393,1530.8114064405158,1528.8322167950703,1528.482988107127,1531.6931712523665,1537.7074792792655,1547.1840441728616,1557.0709398712554,1567.9341953864437,1577.8338877272254,1585.4479834727608,1590.4436178995388,1590.8186881018123,1590.1914352227727,1589.1420033993347,1589.8871446606183,1592.8909425398886,1598.834454613495,1608.2791115877912,1619.0458099137998,1630.8860293784564,1641.6210389882929,1649.510998535361,1653.221929957727,1652.4419979708641,1650.147957622846,1647.2582170971566,1647.6365189456426,1651.3166613463522,1659.6671476094377,1668.4235147698973,1667.6378636164538,1663.1495103196976,1659.689843265798,1664.5882482947281,1666.5197416497265,1664.4556563287933,1661.252603422441,1662.3128054329297,1665.2108805190119,1670.4125021560158,1678.0566244171503,1694.9604231119288,1719.2967038366517,1751.5255910452142,1786.1788725907008,1824.421480639287,1861.4353956044674,1891.5913062704262,1911.9293919305462,1926.5018163624077,1940.4962490751827,1948.8010475231722,1966.495998029389,1982.2447289107536,2008.7804138659808,2030.8446880160798,2055.759958017514,2076.44633764754,2089.775787795452
394913,1,"New York, NY",msa,NY,2519.219640450955,2546.6876643752325,2566.2888638611175,2583.939076424066,2586.989228357006,2596.6462517542877,2602.6429151969596,2606.815536864991,2601.4735476802566,2596.3216126032885,2594.477034864259,2602.339732776361,2607.1195720276232,2619.490289785049,2629.9664896263093,2646.746959915066,2640.397489389839,2643.2838095275765,2642.505749952292,2648.636537873798,2643.4038046565315,2632.6375455301545,2630.290945757211,2633.034085377433,2647.7533164821957,2666.8133424602156,2687.0571682162818,2699.5735158426396,2709.081912194104,2707.5394781054933,2714.2732564011026,2706.6260310562184,2694.093507417746,2678.610753626119,2670.731328392434,2676.21666595355,2682.24206048731,2697.4522725761512,2714.530415436076,2730.7096108559995,2745.678521116833,2754.9269882649514,2756.5999648914903,2750.7957443814234,2739.614060258941,2732.5863838229698,2729.1029588036945,2736.73897134157,2751.139434198886,2766.0857700875536,2789.441963726375,2808.92932924564,2826.648468786059,2827.603664996729,2820.782118133738,2813.0681732807902,2801.525834965749,2788.5849159558657,2786.2955108059755,2801.5630478017933,2819.932737183143,2816.8932402264436,2796.4676371286437,2772.738042250759,2747.7493176339412,,,2589.1643735345915,2559.864339516704,2547.2466027169003,2546.1283585183323,2550.3417646359408,2570.2071528728866,2604.6281762620756,2655.9111138221774,2711.712661873733,2775.2461794056153,2833.888993136508,2886.058427117356,2919.6979095856323,2943.9728002055867,2967.7251930373814,2995.4084346663844,3043.7268425253133,3096.09350215477,3155.667376871537,3214.734293379073,3272.3664462533407,3322.7500663875157,3341.55589427904
753899,2,"Los Angeles, CA",msa,CA,1984.6562436320269,1997.4104674428806,2011.5394906131294,2024.1128539759864,2038.4406896690348,2055.9481340568364,2066.2263906974786,2074.5123867786447,2080.9700837281644,2085.31436171586,2095.0504773122307,2107.206741318361,2124.51363199277,2132.3590180568235,2144.7042365031184,2156.0445336235816,2168.146397389752,2176.769135721587,2182.861330512926,2191.4028273393033,2191.9686301753636,2196.4609423331344,2204.9489435791197,2221.320602223262,2238.158600789712,2254.7512772240184,2269.971375435153,2281.090089361456,2294.3094387524943,2301.382963838494,2309.811196849616,2310.2724571851872,2311.4394343882154,2311.4988044083007,2318.0212630738706,2328.122261020526,2340.4670601291073,2351.1845515420305,2362.5871141259045,2376.509701330552,2385.940659347319,2398.241934945206,2404.4713961421594,2412.1389384235436,2415.266951062495,2420.149631770377,2425.3987173910305,2429.640299064227,2436.267774643083,2446.327123903393,2457.293131601169,2470.3434258067496,2480.237408470716,2490.567608017438,2495.858980199429,2497.102818996873,2498.5269792077925,2503.3021611956938,2509.6935948029754,2514.7613831961166,2516.0449175685244,2499.2059901678226,2478.7287162624593,2462.6238575322623,2464.8641776229656,2464.833316684904,2466.6514191954593,2470.423692140188,2478.4259949545153,2476.6235355945705,2473.473566543488,2478.156748325934,2495.617188180428,2520.596463525629,2549.366337910419,2586.619427187522,2635.1368332469565,2695.619742909776,2745.3256018088723,2781.0327556127877,2800.9910735572034,2818.5842039362806,2835.3489084674857,2859.616662041196,2891.5338343289854,2929.35269005766,2963.407518110135,2989.1800661058533,3009.8992822399964,3023.599107112533
394463,3,"Chicago, IL",msa,IL,1508.9763968354448,1522.1218568130594,1534.0841152787093,1561.0187299078627,1568.264917884073,1576.0476537678724,1572.0334255815328,1564.1770853125197,1551.9989844043375,1549.1295075884375,1554.3538557301245,1565.3550501815719,1576.6060499512375,1587.6332819143336,1599.019643911776,1608.6823679781292,1614.6951376942789,1616.050060298019,1609.5954059730511,1596.9947096654287,1583.5985414548463,1577.104568521194,1578.863239045567,1592.376445720276,1608.4144322381023,1626.8104043063415,1639.7095854352774,1649.6840573509664,1654.3408544343179,1651.9187643299767,1644.1952141824813,1632.8894918623448,1623.0348116248942,1620.839501391739,1623.8870318737572,1633.0162318094453,1644.1051648120404,1656.495938914753,1668.8455152387892,1679.6376860038297,1686.0260750491689,1685.4440788439517,1677.9065321310063,1666.0161074790171,1657.6597877946708,1652.0354076476774,1657.8683490572748,1666.4312310514306,1681.2972124696817,1695.8243243260872,1710.3415085074198,1722.6655431212669,1729.9563420796355,1731.0816588704197,1726.6371850208143,1718.0058511675809,1707.3519591043741,1700.8789801772048,1704.706544133744,1715.5588169563696,1729.6471314013693,1732.1250800016767,1732.6533186608283,1728.129232094701,1726.9687714550896,1718.40006826197,1702.5430364635451,1681.2253559286366,1664.0180609816587,1654.0979267344096,1651.8238111485173,1655.529786687242,1672.0879685408966,1703.140338312242,1740.1775596333346,1772.3707936674425,1794.3276000812791,1812.1300881588606,1821.3944975416434,1824.8584659504188,1826.0376447158226,1833.6850559534655,1846.4982353763971,1862.1234039973126,1881.3004406931389,1904.0714248858478,1929.7754780930147,1951.1216931455558,1970.8033626276072,1979.4730432833128
394514,4,"Dallas, TX",msa,TX,1183.2099301831872,1193.7055414289555,1205.0933699428035,1212.123456926963,1218.7247318352697,1223.8185873081195,1222.961793591204,1221.5505969918072,1218.174357268055,1219.7954388616422,1222.9925371322552,1228.0943428577023,1240.8076140446124,1251.4727406186562,1263.7013159488333,1269.6996166485808,1276.6066631772508,1279.4538973536726,1279.8063614785692,1278.9709296204262,1279.774846461338,1279.9589575813889,1282.989692038993,1288.0997806840705,1299.4043503958455,1308.6429215534154,1320.9003340566062,1329.2501366533963,1336.1178109050247,1339.4815639277074,1338.589845317575,1339.4665525712655,1335.8514861337546,1335.3424263709971,1337.229335918184,1343.9841844755308,1350.9273739779694,1357.7984330527736,1362.0540670426362,1370.7159333029197,1376.854878050661,1383.7444550619834,1382.1109080762392,1383.4501659628222,1383.9605603255395,1384.3486025934271,1384.9767048577562,1390.4315006365487,1399.3638235523808,1409.1728865740104,1416.972305061595,1428.0459559632059,1434.074783807653,1435.917849763171,1436.0531790439895,1434.2009192696744,1432.1479344326506,1428.8967822447378,1429.8486579142746,1435.5420989061233,1443.4805725741312,1442.8309117920662,1439.410988436073,1437.3216311307106,1442.3820000248506,1446.821307937146,1447.975681430671,1451.3226550864304,1455.5027119789554,1460.8570543950473,1464.886257354396,1472.0975583780958,1485.014275944785,1507.9502230671014,1538.9199178962908,1577.6795127001647,1618.610493564658,1657.4690972673986,1687.7581657329404,1704.7072576759654,1720.0587931522455,1730.7028308964727,1741.9939294416693,1752.6587614232558,1762.6955687810369,1784.917301164371,1811.8994778683318,1846.581556142374,1870.9739031204788,1881.6371683026737
394692,5,"Houston, TX",msa,TX,1266.4852743355225,1276.7574814893765,1285.5124219374693,1294.3011279735417,1298.5042118380275,1301.6466592428537,1299.2032328700539,1294.4900506690876,1291.4331840028267,1290.44036093062,1290.8696647104607,1293.2792132936618,1299.6374324885012,1303.0759300544867,1302.5754034902955,1300.7125282144536,1300.0118695290205,1297.9767823535706,1293.321557828233,1289.6301741811558,1284.9897355012042,1280.7248314656558,1278.0579257058237,1282.229109866053,1290.741925189688,1297.4861402000286,1304.4322202270612,1306.5162590485136,1307.6579305252783,1305.8501481668297,1307.8961584104873,1317.4231909737578,1327.1740446122783,1334.5452832917788,1335.9596892047873,1337.705753307501,1341.505358009616,1347.3729509672664,1352.3745157347016,1356.6838404142645,1359.5998536693521,1359.7545782528043,1357.399084405073,1355.955553599628,1358.8295578669392,1357.821684271149,1356.529424951943,1354.4208552739353,1359.8047959865044,1365.6742481074282,1372.8461665144378,1379.5074765029608,1383.8460268107992,1384.3645988114858,1380.870553682718,1379.7314913472728,1377.9197971796666,1380.487786496611,1381.2452329526914,1384.4999963739615,1388.5435106218654,1383.9894108883611,1376.8253309793424,1367.9775508790688,1367.3824164882205,1370.018318231266,1372.0414637872263,1377.2723208579707,1382.9230424788495,1385.7260269695896,1385.3708241390564,1381.6965998999453,1387.3819245475097,1400.49201953281,1427.6863869964768,1459.1673258480369,1491.4751502227944,1518.1665024413721,1530.2720851306126,1540.9278334184758,1545.5197074469913,1556.7188793615817,1556.6783639273497,1564.0920631023218,1569.7785017246947,1584.517982755478,1598.195718233795,1612.9444564832156,1625.2517108935747,1632.9304322108499
395209,6,"Washington, DC",msa,VA,1850.6913375398663,1861.2847837032461,1867.2028717068667,1878.6062986406453,1880.9840480929734,1882.571478043921,1879.8019588511663,1880.2614610606129,1877.9061064263242,1878.12395532594,1875.357599775918,1881.0470866790263,1890.0827887542316,1898.8646189364579,1907.5705718279323,1913.5225056246536,1907.6420044053414,1908.689743266522,1902.7736845896025,1906.6277780338694,1898.362538701325,1894.1478364043212,1898.089221751787,1905.8953279126965,1917.9240703063876,1929.4210025453337,1942.1346924692725,1952.4445514948222,1955.0175423777662,1956.1825011766007,1953.8616633277104,1947.5150285472037,1934.7772446907074,1926.5021353536988,1926.6529665065793,1934.9797810737982,1942.9549547309548,1956.2208736180514,1967.7851300166803,1983.67937820303,1992.7893212672063,2000.2794857890312,1996.3972225489006,1990.5692818020248,1984.8746181550841,1984.355557924487,1988.8919676458124,1996.5271233072338,2006.714959134356,2019.1694439428327,2032.119811436923,2045.7318858736678,2053.5140644320763,2056.333452530928,2056.6760237066646,2051.291995226277,2043.6384407356336,2035.2660799641171,2037.5236169500736,2044.5830753284479,2055.6472890711975,2053.3566906314004,2045.1823020463617,2036.3210540034238,2032.8811024727775,2028.3194532078282,2012.8487182154602,1994.240386448525,1973.8193918121644,1963.6558503078504,1960.494552709633,1968.2081664342268,1977.8436348909313,1998.035911463683,2028.7446212130644,2070.0395682075377,2113.0529499389127,2152.3663453552595,2176.637170369233,2192.523651567004,2196.8290310533334,2203.674866985653,2204.4428817520375,2212.5447049346258,2224.149704483284,2246.730797035322,2270.189951741101,2296.7655472244514,2319.170010248774,2335.8048793983826
394856,7,"Miami, FL",msa,FL,1673.8909917672893,1679.23563160462,1685.8981112052597,1696.6649041537046,1704.0473657938408,1713.4839237325068,1722.9746567091674,1738.2628259745868,1748.9158119332744,1753.8872873352439,1757.6968423256417,1760.7026060002072,1766.6853309377493,1766.415210196624,1765.5802535679559,1763.785232978958,1767.3500448897053,1770.7391085189736,1774.920422539222,1777.9009932700671,1781.8697837853438,1781.8933387715342,1787.4885267151071,1790.7916665732791,1799.7922748239748,1802.029542685645,1804.4324572622586,1807.1211961280273,1813.479286022473,1820.6108074138172,1825.127753255519,1832.467858335692,1834.374825761046,1837.725674909193,1839.3122106074095,1842.4687656948593,1846.3442665165694,1846.88157205856,1852.0159816699647,1857.943497773686,1864.7194851220922,1872.198154492562,1879.55872962261,1888.7920490850727,1895.9330267193293,1899.607875263806,1899.0057096626722,1898.811731352632,1901.3002212132699,1904.8429108700323,1907.1049927102274,1909.784106809655,1915.626698215654,1922.7514432819678,1929.1934160568392,1937.4619817398845,1946.4372591098265,1957.3820801515983,1961.655870820565,1965.8159438322025,1965.2690165325882,1961.2251116630569,1947.9329753938953,1940.1858644869571,1942.28716875064,1951.898735031315,1959.0475987072386,1968.2413953861828,1983.693041738926,2002.3275864041764,2026.8393967782363,2049.007998774313,2080.5255447640284,2119.111273340768,2169.3799844973382,,,2386.7391731164485,2456.2953179441092,2510.283500062196,2569.4045858843397,2633.6691619617486,2682.384486590397,2724.691300691712,2764.27968407955,2816.1385274930526,2859.575117712209,2887.6567104633978,2905.3570669040914,2909.9994309938743
394974,8,"Philadelphia, PA",msa,PA,1351.9098736108585,1361.7474773659499,1377.362280819209,1386.0129013922642,1388.7860334045702,1387.3514320347201,1385.513180017118,1382.59075406288,1382.2901292316972,1381.097165501556,1385.5472690331924,1390.2990717624948,1400.042459973876,1408.5148863480526,1416.8368104326405,1422.3203894501314,1427.9803575268736,1425.132800215876,1420.2472604327374,1413.652888800428,1413.7546479268392,1414.8278579237822,1419.618532067028,1425.1592404652583,1436.1125040744578,1444.3832627889258,1451.9799723787082,1455.639828360793,1459.1728898248716,1460.767834794909,1459.3928410777366,1457.7155102941324,1462.1971562773826,1464.9260921797245,1464.2937833148917,1463.2180298740934,1470.4307331551731,1484.0732982747338,1496.346245189319,1502.8652615848416,1504.3191765092126,1503.2902225073676,1504.023579615327,1505.7968058959707,1505.8502039201285,1507.4454901251147,1512.0818011418214,1519.963039413445,1528.7173565642204,1536.0519750008355,1543.829951640161,1553.1119582191545,1559.158796460546,1562.0283933290914,1558.4727288437387,1558.3259954288117,1555.7705382764361,1555.904210551614,1555.1368778063775,1564.9566239351107,1574.8433263416512,1577.0992763715224,1575.6096905735867,1575.1310938078927,1580.0033095645265,1583.5131080198034,1583.3457375280893,1583.2356480865726,1582.8186584295584,1584.2831395335222,1585.183893172923,1587.309690101658,1594.646317094244,1612.6069455533536,1634.9668450836098,1659.8610064741422,1683.3435905810338,1709.949123426516,1732.0482075164755,1750.97014509336,1759.9980887687286,1774.499217969243,1775.1218425932734,1783.4502082559418,1788.0374186417118,1806.6584351921563,1822.2986105993255,1839.8796358996772,1857.238780156248,1869.4124353471545
394347,9,"Atlanta, GA",msa,GA,1122.4731283625563,1132.3374310735433,1143.6711998112137,1155.777255150935,1165.190500181047,1167.0427555159647,1164.0299573169332,1161.7164530877233,1162.7606276553413,1166.9135995518704,1170.8021254273228,1178.6738640504118,1191.541624847421,1201.5958782455411,1211.9482121369572,1219.3519406975702,1228.7629304530133,1233.378178787515,1234.7349101453917,1238.1286428150852,1238.7390997594878,1238.3271689289218,1239.5516055065243,1246.7719910322821,1258.239000240301,1269.5573461301267,1282.2096670162662,1294.2663264152125,1305.2307466901111,1312.3880264180439,1316.1776232408176,1315.375631542141,1313.2778694529843,1312.2652999838845,1316.4393714108096,1323.840918061599,1335.561016104965,1346.1125791340683,1361.277349969467,1370.840808062312,1381.3488819215074,1386.3537592333437,1391.9142246544143,1395.7796685989877,1398.3036879614347,1401.1368913997276,1407.9609893730699,1413.6852065200073,1424.2294876360509,1432.6651242744072,1445.2326454689355,1455.6293451965598,1464.4550396173584,1470.6231550031177,1473.6881118842302,1472.608731877706,1469.6874394098327,1466.7769379454176,1469.8249403465938,1477.2993310758716,1487.7260621243354,1489.0176121288873,1487.412813321023,1488.6188253796954,1500.317621176334,1516.3936058276352,1527.7116535811904,1538.4043663273092,1545.8392087961593,1556.343484965966,1567.0431837807182,1584.643408273384,1605.808316752074,1634.8405439149597,1667.756387023079,1710.6246685538201,1761.2116224155147,1818.1145287569918,1862.928395596234,1893.4720891422373,1904.2868717061829,1907.6394996127744,1908.0833337148151,1915.0948334423747,1928.25437511339,1936.5463565467855,1952.9850892698064,1973.4941988250005,2002.8058236725285,2019.845510555
